Id,SalePrice
1461,128603.01
1462,155881.9
1463,184772.88
1464,191476.31
1465,200433.38
1466,178464.12
1467,174490.78
1468,178830.14
1469,187826.72
1470,130555.36
1471,180118.5
1472,88604.93
1473,89869.48
1474,144073.81
1475,124183.664
1476,368680.47
1477,255138.6
1478,383738.2
1479,341156.28
1480,598545.5
1481,319546.78
1482,201264.83
1483,171359.25
1484,179475.11
1485,173086.1
1486,208181.42
1487,322612.6
1488,260731.7
1489,185394.19
1490,216728.97
1491,204996.77
1492,109715.64
1493,207352.88
1494,314396.78
1495,294822.62
1496,216341.94
1497,197519.55
1498,172056.77
1499,165375.8
1500,157999.42
1501,186300.42
1502,160191.73
1503,264390.25
1504,240590.25
1505,216504.72
1506,208446.94
1507,244995.03
1508,190285.28
1509,174252.39
1510,158815.62
1511,151267.64
1512,171111.45
1513,158505.02
1514,138476.67
1515,222451.06
1516,126648.445
1517,149130.86
1518,138212.56
1519,191675.94
1520,135452.45
1521,137935.22
1522,165730.34
1523,106072.81
1524,128914.91
1525,120866.1
1526,118785.24
1527,114486.8
1528,136132.89
1529,145444.14
1530,201109.08
1531,127461.26
1532,102991.0
1533,155075.14
1534,103435.35
1535,123154.03
1536,112824.16
1537,84966.305
1538,200204.81
1539,255646.22
1540,114313.49
1541,153405.61
1542,119486.055
1543,191804.11
1544,90600.016
1545,104771.375
1546,126895.27
1547,117599.22
1548,125347.77
1549,116550.05
1550,130853.31
1551,107184.77
1552,158203.03
1553,178062.77
1554,124074.68
1555,168707.92
1556,126587.38
1557,118414.87
1558,108935.31
1559,127563.51
1560,149155.73
1561,132315.38
1562,130353.125
1563,130846.68
1564,146270.98
1565,150403.16
1566,247416.64
1567,103586.78
1568,240525.77
1569,103501.02
1570,121106.72
1571,106338.805
1572,136862.3
1573,196027.89
1574,141348.1
1575,235032.23
1576,224050.0
1577,187147.03
1578,150638.11
1579,147450.72
1580,186657.08
1581,160199.08
1582,143430.78
1583,320970.5
1584,233487.78
1585,152577.66
1586,73565.43
1587,102611.71
1588,169597.84
1589,100837.79
1590,123110.95
1591,95410.1
1592,127659.67
1593,121101.75
1594,138945.3
